city,coordinates
https://latitudelongitude.org/pl/aleksandrow-kujawski/,"['52.87659, 18.69345']"
https://latitudelongitude.org/pl/aleksandrow-lodzki/,"['51.81965, 19.30384']"
https://latitudelongitude.org/pl/andrychow/,"['49.85497, 19.33834']"
https://latitudelongitude.org/pl/augustow/,"['53.84321, 22.97979']"
https://latitudelongitude.org/pl/barcin/,"['52.86607, 17.94625']"
https://latitudelongitude.org/pl/barczewo/,"['53.83055, 20.69112']"
https://latitudelongitude.org/pl/barlinek/,"['52.99464, 15.21864']"
https://latitudelongitude.org/pl/bartoszyce/,"['54.25354, 20.80819']"
https://latitudelongitude.org/pl/bedzin/,"['50.32607, 19.12565']"
https://latitudelongitude.org/pl/belchatow/,"['51.36883, 19.35671']"
https://latitudelongitude.org/pl/belzyce/,"['51.17415, 22.28027']"
https://latitudelongitude.org/pl/bemowo/,"['52.2546, 20.90844']"
https://latitudelongitude.org/pl/biala-podlaska/,"['52.03238, 23.11652']"
https://latitudelongitude.org/pl/biale-blota/,"['53.09516, 17.91621']"
https://latitudelongitude.org/pl/bialobrzegi/,"['51.64695, 20.95041']"
https://latitudelongitude.org/pl/bialogard/,"['54.00696, 15.98751']"
https://latitudelongitude.org/pl/bialoleka/,"['52.32127, 20.97204']"
https://latitudelongitude.org/pl/bialystok/,"['53.13333, 23.16433']"
https://latitudelongitude.org/pl/bielany/,"['52.29242, 20.93531']"
https://latitudelongitude.org/pl/bielawa/,"['50.69075, 16.623']"
https://latitudelongitude.org/pl/bielsk-podlaski/,"['52.76512, 23.18647']"
https://latitudelongitude.org/pl/bielsko-biala/,"['49.82245, 19.04686']"
https://latitudelongitude.org/pl/bierun/,"['50.09, 19.09291']"
https://latitudelongitude.org/pl/bierutow/,"['51.12443, 17.54607']"
https://latitudelongitude.org/pl/bilgoraj/,"['50.54114, 22.72204']"
https://latitudelongitude.org/pl/biskupiec/,"['53.86467, 20.95692']"
https://latitudelongitude.org/pl/blachownia/,"['50.78015, 18.96389']"
https://latitudelongitude.org/pl/blonie/,"['52.19849, 20.61709']"
https://latitudelongitude.org/pl/bochnia/,"['49.96905, 20.43028']"
https://latitudelongitude.org/pl/bogatynia/,"['50.90747, 14.95634']"
https://latitudelongitude.org/pl/boguchwala/,"['49.98473, 21.94528']"
https://latitudelongitude.org/pl/boguszow-gorce/,"['50.75514, 16.20494']"
https://latitudelongitude.org/pl/boleslawiec/,"['51.26418, 15.5697']"
https://latitudelongitude.org/pl/bolkow/,"['50.92203, 16.10111']"
https://latitudelongitude.org/pl/bolszewo/,"['54.61801, 18.17585']"
https://latitudelongitude.org/pl/braniewo/,"['54.37971, 19.81959']"
https://latitudelongitude.org/pl/brenna/,"['49.72576, 18.90249']"
https://latitudelongitude.org/pl/brodnica/,"['53.25967, 19.39653']"
https://latitudelongitude.org/pl/brwinow/,"['52.14269, 20.71697']"
https://latitudelongitude.org/pl/brzeg/,"['50.86079, 17.4674']"
https://latitudelongitude.org/pl/brzeg-dolny/,"['51.27299, 16.70815']"
https://latitudelongitude.org/pl/brzesko/,"['49.96911, 20.60606']"
https://latitudelongitude.org/pl/brzeszcze/,"['49.98203, 19.15157']"
https://latitudelongitude.org/pl/brzeziny/,"['51.80023, 19.75144']"
https://latitudelongitude.org/pl/brzozow/,"['49.69501, 22.01926']"
https://latitudelongitude.org/pl/buk/,"['52.35532, 16.51958']"
https://latitudelongitude.org/pl/bukowno/,"['50.26474, 19.45962']"
https://latitudelongitude.org/pl/busko-zdroj/,"['50.47078, 20.71884']"
https://latitudelongitude.org/pl/bychawa/,"['51.01608, 22.53296']"
https://latitudelongitude.org/pl/bydgoszcz/,"['53.1235, 18.00762']"
https://latitudelongitude.org/pl/bystrzyca-klodzka/,"['50.30179, 16.64231']"
https://latitudelongitude.org/pl/bytom/,"['50.34802, 18.93282']"
https://latitudelongitude.org/pl/bytow/,"['54.17057, 17.49187']"
https://latitudelongitude.org/pl/chelm/,"['51.14312, 23.4716']"
