city,latitude,longitude
Aleksandrow Kujawski,52.87659, 18.69345
Aleksandrow Lodzki,51.81965, 19.30384
Andrychow,49.85497, 19.33834
Augustow,53.84321, 22.97979
Barcin,52.86607, 17.94625
Barczewo,53.83055, 20.69112
Barlinek,52.99464, 15.21864
Bartoszyce,54.25354, 20.80819
Bedzin,50.32607, 19.12565
Belchatow,51.36883, 19.35671
Belzyce,51.17415, 22.28027
Bemowo,52.2546, 20.90844
Biala Podlaska,52.03238, 23.11652
Biale Blota,53.09516, 17.91621
Bialobrzegi,51.64695, 20.95041
Bialogard,54.00696, 15.98751
Bialoleka,52.32127, 20.97204
Bialystok,53.13333, 23.16433
Bielany,52.29242, 20.93531
Bielawa,50.69075, 16.623
Bielsk Podlaski,52.76512, 23.18647
Bielsko Biala,49.82245, 19.04686
Bierun,50.09, 19.09291
Bierutow,51.12443, 17.54607
Bilgoraj,50.54114, 22.72204
Biskupiec,53.86467, 20.95692
Blachownia,50.78015, 18.96389
Blonie,52.19849, 20.61709
Bochnia,49.96905, 20.43028
Bogatynia,50.90747, 14.95634
Boguchwala,49.98473, 21.94528
Boguszow Gorce,50.75514, 16.20494
Boleslawiec,51.26418, 15.5697
Bolkow,50.92203, 16.10111
Bolszewo,54.61801, 18.17585
Braniewo,54.37971, 19.81959
Brenna,49.72576, 18.90249
Brodnica,53.25967, 19.39653
Brwinow,52.14269, 20.71697
Brzeg,50.86079, 17.4674
Brzeg Dolny,51.27299, 16.70815
Brzesko,49.96911, 20.60606
Brzeszcze,49.98203, 19.15157
Brzeziny,51.80023, 19.75144
Brzozow,49.69501, 22.01926
Buk,52.35532, 16.51958
Bukowno,50.26474, 19.45962
Busko Zdroj,50.47078, 20.71884
Bychawa,51.01608, 22.53296
Bydgoszcz,53.1235, 18.00762
Bystrzyca Klodzka,50.30179, 16.64231
Bytom,50.34802, 18.93282
Bytow,54.17057, 17.49187
Chelm,51.14312, 23.4716
Chelm Slaski,50.10825, 19.19552
Chelmek,50.10163, 19.24801
Chelmno,53.34855, 18.4251
Chelmza,53.18463, 18.60466
Chocianow,51.41867, 15.90172
Chocznia,49.87417, 19.45438
Chodziez,52.99505, 16.9198
Chojna,52.96389, 14.42797
Chojnice,53.69554, 17.55701
Chojnow,51.27373, 15.93661
Choroszcz,53.14332, 22.98889
Chorzow,50.30582, 18.9742
Choszczno,53.16905, 15.42054
Chrzanow,50.13546, 19.40203
Ciechanow,52.88141, 20.61996
Ciechocinek,52.87908, 18.79505
Cieplice Slaskie Zdroj,50.86545, 15.68367
Cieszyn,49.75133, 18.63213
Czaniec,49.85071, 19.25354
Czaplinek,53.55775, 16.23333
Czarna Bialostocka,53.30509, 23.28146
Czarne,53.6842, 16.93834
Czarnkow,52.90214, 16.56413
Czechowice Dziedzice,49.91342, 19.00479
Czeladz,50.31542, 19.07824
Czempin,52.14404, 16.76408
Czersk,53.79589, 17.97647
Czerwionka Leszczyny,50.15007, 18.67762
Czerwonak,52.46459, 16.98169
Czestochowa,50.79646, 19.12409
Czluchow,53.66722, 17.35883
