city,latitude,longitude
Augustow,53.84321, 22.97979
Belchatow,51.36883, 19.35671
Bialogard,54.00696, 15.98751
Bialystok,53.13333, 23.16433
Bielsko Biala,49.82245, 19.04686
Bircza,49.692820000000005,22.47983
Blachownia,50.78015, 18.96389
Boleslawiec,51.26418, 15.5697
Brzeg,50.86079, 17.4674
Busko Zdroj,50.47078, 20.71884
Bydgoszcz,53.1235, 18.00762
Bytom,50.34802, 18.93282
Chocholow,49.3717987,19.8163026
Chojnice,53.69554, 17.55701
Chorzow,50.30582, 18.9742
Chlapowo,54.804789,18.3725591
Ciechocinek,52.87908, 18.79505
Cieszyn,49.75133, 18.63213
Cisna,49.2131799,22.3283323
Czaplinek,53.55775, 16.23333
Czarna Gorna,49.323566,22.6699025
Czorsztyn,49.437298299999995,20.326864800000003
Czestochowa,50.79646, 19.12409
Czluchow,53.66722, 17.35883
Darlowo,54.42095, 16.4107
Dobrodzien,50.7289,18.4443
Duszniki Zdroj,50.4044,16.389800000000037
Dziwnow,54.02509499999999,14.752646900000002
Dziwnowek,54.035214100000005,14.8068413
Dabki,53.75015749999999,17.9914563
Elblag,54.1522, 19.40884
Elk,53.82824, 22.36469
Gdansk,54.35205, 18.64637
Gdynia,54.51889, 18.53188
Gliwice,50.29761, 18.67658
Gniezno,52.53481, 17.58259
Gorlice,49.65563, 21.16035
Gorzow Wielkopolski,52.73679, 15.22878
Goldap,54.30631, 22.30362
Grajewo,53.64728, 22.45537
Grudziadz,53.48411, 18.75366
Herby,50.7512437,18.883244
Inowroclaw,52.79886, 18.26387
Ilowa,51.5006828,15.198459900000001
Jaroslawiec,50.7171,23.362899999999968
Jastrzebia Gora,54.8304,18.304399999999987
Jastrzebie Zdroj,49.95542, 18.57479
Jaslo,49.74506, 21.47252
Jelenia Gora,50.89973, 15.72899
Karpacz,50.7747485,15.754203500000001
Karwia,54.529266,16.822163
Katowice,50.25841, 19.02754
Kielce,50.87033, 20.62752
Kluszkowce,49.4509646,20.301466100000003
Konin,52.22338, 18.25121
Koszalin,54.19438, 16.17222
Kolobrzeg,54.17565, 15.58342
Koscielisko,49.2907,19.8886
Krakow,50.06143, 19.93658
