city;latitude;longitude
Bircza;49.69282;22.47983
Chocholow;49.3717987;19.8163026
Chlapowo;54.804789;18.3725591
Cisna;49.2131799;22.3283323
Czarna Gorna;49.323566;22.6699025
Czorsztyn;49.4372983;20.3268648
Dobrodzien;50.7289;18.4443
Duszniki Zdroj;50.4044;16.389800000000037
Dziwnow;54.025095;14.7526469
Dziwnowek;54.0352141;14.8068413
Dabki;53.7501575;17.9914563
Herby;50.7512437;18.883244
Ilowa;51.5006828;15.1984599
Jaroslawiec;50.7171;23.362899999999968
Jastrzebia Gora;54.8304;18.304399999999987
Karpacz;50.7747485;15.7542035
Karwia;54.529266;16.822163
Kluszkowce;49.4509646;20.3014661
Koscielisko;49.2907;19.888599999999997
Krakow Balice port lotniczy;50.0774;19.787599999999998
Krasiczyn;49.7762257;22.6521706
Kroscienko;49.4783429;22.6682494
Kroscienko nad Dunajcem;49.4457;20.4289
Krynica Morska;54.38;19.443399999999997
Katy Rybackie;54.34;19.22950000000003
Lutowiska;49.2506891;22.6954882
Medyka;49.8057989;22.9375415
Mielno;54.2590065;16.0539997
Miedzywodzie;54.0068476;14.6953599
Mrzezyno;54.143497;15.2905507
Niechorze;54.0953653;15.0819989
Nowa Wies;53.0012788;18.7420692
Osno Lubuskie;52.455132;14.8682003
Pobierowo;54.0570808;14.9332546
Pogorzelica;54.4472688;17.5574036
Polanczyk;49.372251;22.4298002
Port lotniczy Katowice Pyrzowice;50.4712;19.07179999999994
Port lotniczy Warszawa Modlin;52.4513;20.651700000000005
Port lotniczy Wroclaw;51.1076;16.87570000000005
Przysucha;51.3585043;20.6285468
Pustkowo;54.2333333;18.3833333
Rewal;54.0820674;15.0141929
Rozewie;54.8291852;18.3352883
Rzeszow Jasionka port lotniczy;50.1109;22.021099999999933
Sarbinowo;52.6575501;14.6753303
Solina;44.5467;18.6923622
Stegna;54.3286519;19.1130637
Strzelce Krajenskie;52.8785255;15.5325925
Szczawnica;49.4264;20.476200000000063
Szczecin Goleniow im. NSZZ Solidarnosc port lotniczy;53.5931;14.894900000000007
Szklarska Poreba;50.8299;15.518199999999979
Sztum;53.9198663;19.0305384
Sztutowo;54.330086;19.177209
Trzesacz;52.7638467;15.429816
Ustronie Morskie;54.2135984;15.7560763
Ustrzyki Gorne;49.1052;22.649200000000064
Warszawa;52.2319237;21.0067265
Wetlina;49.1551784;22.4690026
Wiselka;53.9650525;14.57098
Wysowa Zdroj;49.4363096;21.1772636
Wyszogrod;52.3883993;20.1912846
Zator;49.9963053;19.4376782
Zloty Stok;50.445143;16.8765836
Leba;54.7585;17.555399999999963
Lukecin;54.0430193;14.8732835
