museum,city,latitude,longitude
Zamek Krolewski w Warszawie - Pomnik Historii i Kultury Narodowej,Warsaw,52.22977, 21.01178
Muzeum Narodowe w Krakowie,Krakow,50.06143, 19.93658
Muzeum Zamoyskich,Kozlowka,,
Muzeum ,Wieliczka,49.98738, 20.06473
Muzeum Historii Polskiego Ruchu Ludowego,Warsaw,52.22977, 21.01178
Muzeum Niepodleglosci,Warsaw,52.22977, 21.01178
Muzeum Oreza Polskiego,Kolobrzeg,54.17565, 15.58342
Muzeum Ziemi Lubuskiej,Zielona Gora,51.93548, 15.50643
Panstwowe Muzeum Archeologiczne w Warszawie,Warsaw,52.22977, 21.01178
Muzeum Okregowe w Rzeszowie,Rzeszow,50.04132, 21.99901
Muzeum Narodowe w Warszawie,Warsaw,52.22977, 21.01178
Panstwowe Muzeum Etnograficzne w Warszawie,Warsaw,52.22977, 21.01178
Panstwowe Muzeum na Majdanku,Lublin,51.25, 22.56667
Muzeum Gross-Rosen,Rogoznica,,
Zamek Krolewski na Wawelu - Panstwowe Zbiory Sztuki w Krakowie,Krakow,50.06143, 19.93658
Muzeum Zamkowe w Malborku,Malbork,54.03591, 19.0266
Muzeum ,Warsaw,52.22977, 21.01178
Muzeum Zamkowe w Pszczynie,Pszczyna,49.98037, 18.95382
Muzeum Archeologiczne Srodkowego Nadodrza,Swidnica,50.84378, 16.48859
Muzeum Etnograficzne w Zielonej Gorze,Ochla,,
Lubuskie Muzeum Wojskowe,Drzonow,,
Muzeum Pomorza Srodkowego,Slupsk,54.46405, 17.02872
Centralne Muzeum Jencow Wojennych,Opole,50.67211, 17.92533
Panstwowe Muzeum Auschwitz-Birkenau,Oswiecim,50.03437, 19.21037
Muzeum Poczatkow Panstwa Polskiego,Gniezno,52.53481, 17.58259
Zamek Gorkow w Szamotulach,Szamotuly,52.61201, 16.57794
Muzeum Ziemi Kujawskiej i Dobrzynskiej,Wloclawek,52.64817, 19.0678
Palac w Wilanowie,Warsaw,52.22977, 21.01178
Muzeum Stutthof,Sztutowo,54.330086,19.177209
Muzeum Narodowe Rolnictwa i Przemyslu Rolno-Spozywczego,Szreniawa,,
Muzeum Sportu i Turystyki,Warsaw,52.22977, 21.01178
Muzeum Okregowe w Toruniu,Torun,53.01375, 18.59814
Muzeum Poludniowego Podlasia,Biala Podlaska,52.03238, 23.11652
Muzeum Karkonoskie,Jelenia Gora,50.89973, 15.72899
Muzeum Nadwislanskie w Kazimierzu Dolnym,Kazimierz Dolny,,
Muzeum Okregowe Ziemi Kaliskiej w Kaliszu,Kalisz,51.76109, 18.09102
Muzeum Ziemi Chelmskiej,Chelm,51.14312, 23.4716
Muzeum Ziemi Miedzyrzeckiej,Miedzyrzecz,52.44461, 15.57801
Muzeum Lubuskie,Gorzow Wielkopolski,52.73679, 15.22878
Muzeum Szlachty Mazowieckiej,Ciechanow,52.88141, 20.61996
Muzeum Rolnictwa,Ciechanowiec,,
Muzeum Archeologiczne i Etnograficzne w Lodzi,Lodz,51.75, 19.46667
Muzeum Historii Przemyslu,Opatowek,,
Muzeum Okregowe w Pile,Pila,53.15145, 16.73782
Muzeum Archeologiczne w Poznaniu,Poznan,52.40692, 16.92993
Zamek w ,Lancut,50.06871, 22.22912
Muzeum Lubelskie,Lublin,51.25, 22.56667
Muzeum ,Opole,50.67211, 17.92533
Muzeum Wsi Opolskiej,Opole,50.67211, 17.92533
Muzeum Azji i Pacyfiku,Warsaw,52.22977, 21.01178
Muzeum Sztuki w Lodzi,Lodz,51.75, 19.46667
Muzeum Pierwszych Piastow,Lednogora,,
Muzeum im. ks. dr. Wladyslawa Legi,Grudziadz,53.48411, 18.75366
Muzeum Wsi Kieleckiej,Kielce,50.87033, 20.62752
Narodowe Muzeum Morskie,Gdansk,54.35205, 18.64637
Muzeum Wojska Polskiego,Warsaw,52.22977, 21.01178
Muzeum Ludowych Instrumentow Muzycznych,Szydlowiec,51.22823, 20.86106
Muzeum w ,Lowicz,52.10714, 19.94525
Muzeum Okregowe w Sandomierzu,Sandomierz,50.68265, 21.74898
Muzeum Narodowe w Kielcach,Kielce,50.87033, 20.62752
Muzeum Literatury,Warsaw,52.22977, 21.01178
Muzeum Mazowsza Zachodniego,Zyrardow,52.0488, 20.44599
Muzeum Kaszubskie im. Franciszka Tredera w Kartuzach,Kartuzy,54.33424, 18.19735
Muzeum Historyczne M.St. Warszawy,Warsaw,52.22977, 21.01178
