name,city,latitude,longitude
ZOO Wroclaw Sp. z o.o.,Wroclaw,51.1, 17.03333
Ogrod Zoologiczny w Lubinie,Lubin,51.40089, 16.20149
Ogrod Fauny Polskiej,Bydgoszcz,53.1235, 18.00762
Ogrod Zoologiczny w Toruniu,Torun,53.01375, 18.59814
Ogrod Zoologiczny im. Stefana Milera w Zamosciu,Zamosc,50.72314, 23.25196
ZOO Safari Swierkocin,Witnica,52.67318, 14.89765
Miejski Ogrod Zoologiczny w lodzi,Lodz,51.75, 19.46667
ZOO Safari Borysew,Poddebice,51.89344, 18.9573
Miejski Park i Ogrod Zoologiczny w Krakowie,Krakow,50.06143, 19.93658
Miejski Ogrod Zoologiczny w Plocku,Plock,52.54682, 19.70638
Miejski Ogrod Zoologiczny w Warszawie,Warszawa,52.2319237,21.006726500000003
Ogrod Zoologiczny Opole,Opole,50.67211, 17.92533
Akcent ZOO,Bialystok,53.13333, 23.16433
Akwarium Gdynskie,Gdynia,54.51889, 18.53188
Miejski Ogrod Zoologiczny Wybrzeza,Gdansk,54.35205, 18.64637
Ogrod Zoologiczny CANPOL,Czluchow,53.66722, 17.35883
Ogrod Zoologiczny Dolina Charlotty,Slupsk,54.46405, 17.02872
Slaski Ogrod Zoologiczny w Chorzowie,Chorzow,50.30582, 18.9742
LeSny Park Niespodzianek,Ustron,49.72153, 18.80198
Ogrod Zoologiczny w Sosnowcu,Sosnowiec,50.28682, 19.10385
Ogrod Zoologiczny - Poznan,Poznan,52.40692, 16.92993
Ogrod Zoologiczny w Nowym Tomyslu,Nowy Tomysl,52.3195, 16.12844
