castle,lat,long
Babice - Zamek Lipowiec,50.07675,19.444961
Bagieniec,50.889817,16.482433
Baranow Sandomierski,50.501431,21.530153
Barciany,54.211931,21.344528
Bardo,50.501,16.738361
Barwald Gorny - Zamek Barwald,49.853028,19.65225
Baszkow,51.67915,17.296889
Bakowa Gora,51.13975,19.86005
Belzyce,51.17635,22.282689
Besiekiery,52.153011,18.965089
Bedzin,50.326608,19.129008
Biala Podlaska,52.0319,23.114683
Bialaczow,51.299119,20.286019
Bialawoda,49.690217,20.634383
Bialy Bor,53.892411,16.832169
Bielsko-Biala,49.82185,19.044478
Blonie,52.208519,20.639119
Bobolice (woj. dolnoslaskie),50.618019,16.84845
Bobolice (woj. slaskie),50.612983,19.493292
Bobrek,50.066933,19.257383
Bobrzany,51.588519,15.47195
Bochotnica,51.335181,21.994981
Bodzentyn,50.941783,20.951417
Boleslawiec (woj. lodzkie),51.197781,18.182739
Boleszkowice,52.723381,14.5633
Bolkow,50.921617,16.09775
Borow Polski,51.6983,15.670231
Boryslawice Zamkowe,52.234111,18.803781
Bozkow,50.514381,16.575689
Brodnica,53.255147,19.401392
Brok,52.701269,21.873569
Brzeziny,51.800581,19.75065
Bychawa,51.023883,22.5241
Byczyna,51.114833,18.21405
Bydlin,50.388967,19.642867
Bytom Odrzanski,51.729319,15.829939
Bytow,54.168725,17.491789
Chelm-Bielawin,51.155667,23.4747
Chelmo,51.071631,19.750419
Checiny,50.791819,20.462056
Chichy,51.597061,15.476461
Chlewiska,51.247031,20.7581
Chobienia,51.5435,16.447161
Chocianow,51.417631,15.895619
Chocz,51.973161,17.869619
Chometowo,52.946769,15.660961
Chorzenice,51.190319,19.26215
Chrostowa,49.904867,20.315314
Chudow,50.223783,18.772233
Chwarszczany,52.68735,14.641961
Ciechanow,52.884031,20.618797
Cieszkow,51.62865,17.356667
Czarne,53.686031,16.940761
Czarnkow,52.905069,16.5582
Czchow,49.832106,20.677419
Czemierniki,51.6762,22.641317
Czerna,51.708989,15.910119
Czernina,51.719431,16.618589
Czersk,51.9581,21.233733
Czlopa,53.083669,16.097361
Czorsztyn - Zamek Wronin,49.435475,20.313853
Czyzow Szlachecki,50.8228,21.782217
Deblin,51.550111,21.874019
Debno,49.964061,20.715289
Dobczyce,49.877278,20.084878
Domanice,50.943733,16.586267
Drezdenko,52.8427,15.830869
Dzietrzychowice,51.661639,15.330319
Dziewin,51.372811,16.459119
Frombork,54.357386,19.683383
Frydman,49.449683,20.228983
Gdansk,54.353839,18.658539
Glebowice,49.9445,19.333783
Glogow,51.667431,16.09005
Gniew,53.834167,18.827583
Gniewoszow - Zamek Szczerba,50.194361,16.6201
Gola,51.878169,16.952639
Gola Dzierzoniowska,50.737811,16.795069
Golub-Dobrzyn,53.115317,19.049017
Goluchow,51.852469,17.933439
Gorzanow,50.350161,16.633481
Gora,51.667781,16.5367
Graboszyce,49.947633,19.44935
Grabowiec-Gora,50.81575,23.558333
Grodziec (woj. dolnoslaskie) - Zamek Grodziec,51.1772,15.75985
Grzmiaca - Zamek Rogowiec,50.693419,16.31495
Horodlo - Waly Jagiellonskie,50.892133,24.05065
Hrubieszow,50.803633,23.88935
Ilza,51.162167,21.2409
Jakubowice Murowane,51.274333,22.629183
Janowice Wielkie - Zamek Bolczow,50.860817,15.912283
Janowiec,51.324539,21.893569
Jelenia Gora-Sobieszow - Zamek Chojnik,50.833733,15.643833
Jedrzychow,51.4578,16.028939
Kalen,51.721869,21.710739
Kalisz Pomorski,53.296197,15.902658
Kamieniec Zabkowicki,50.521592,16.880008
Karpniki,50.846725,15.849833
Karpno (Ladek Zdroj) - Zamek Karpien,50.330769,16.923331
Kazimierz Dolny,51.323639,21.950381
Katy Wroclawskie,51.03115,16.772861
Ketrzyn,54.074369,21.376608
Kliczkow - Zamek Kliczkow,51.335006,15.432758
Klodzko,50.439489,16.653331
Kobiernice - Zamek Wolek,49.831033,19.20295
Kobylin,51.711811,17.225919
Koden,51.91165,23.610283
Kolo,52.197489,18.608711
Korzkiew,50.162089,19.882939
Kostrzyn,52.577839,14.635111
Koscian,52.084281,16.648631
Kozienice,51.588381,21.554419
Kozlow,51.993669,21.694161
Kozlowka,51.459633,22.488283
Kozmin Wielkopolski,51.823881,17.451069
Kozuchow,51.746861,15.594639
Kornik,52.244469,17.090731
Krajenka,53.296769,16.988619
Krakow - Zamek Wawel,50.054022,19.935117
Krakow - Grodek,50.060864,19.943189
Krakow - Villa Decjusza,50.063642,19.871492
Krasiczyn,49.776317,22.649453
Kraskow,50.91245,16.5835
Krasnik,50.923067,22.21815
Krag,54.213881,16.700161
Krobia,51.775169,16.986681
Krobielowice,51.007369,16.798119
Krosno Odrzanskie,52.047381,15.100681
Krotoszyn,51.693511,17.4334
Krupe,51.02815,23.221333
Ksiaz Wielki - Zamek Mirow,50.440583,20.148733
Kurozweki,50.5961,21.09855
Kwidzyn,53.73635,18.92045
Legnica,51.211069,16.162431
Lebork,54.543589,17.753569
Lidzbark Warminski,54.126289,20.572997
Lipa,50.968097,16.016408
Liw,52.373519,21.969639
Lubin,51.39655,16.207869
Lublin,51.250417,22.572317
Leczyca,52.059039,19.203869
Lowicz,52.110989,19.929722
Lutowiec,50.629369,19.4497
Malbork,54.040508,19.029858
Melsztyn - Zamek Melsztyn,49.869067,20.772861
Miedzylesie,50.148331,16.665939
Miedzyrzecz,52.445,15.572589
Mirow,50.61425,19.47525
Mokrsko Gorne,50.693083,20.437497
Morsko - Zamek Bakowiec,50.550367,19.520817
Muszyna,49.353897,20.890558
Myslenice,49.8175,19.94705
Nidzica,53.360736,20.42845
Nieborow,52.066811,20.070169
Niedzica - Zamek Dunajec,49.421617,20.318933
Nowy Korczyn,50.295597,20.810467
Nowy Wisnicz,49.917631,20.469211
Ojcow,50.211581,19.829689
Olkusz,50.279017,19.557783
Olsztyn (woj. slaskie) - Zamek Przymilowice,50.749269,19.274394
Opole,50.6672,17.919219
Oporow,52.262531,19.561611
Ostreznik,50.674569,19.400472
Ostrzeszow,51.426969,17.9327
Oswiecim,50.0398,19.219017
Pankow,50.899033,16.527883
Papowo Biskupie,53.251733,18.563611
Pieskowa Skala,50.244139,19.780389
Pilica,50.4675,19.648383
Pinczow - Zamek Olesnickich,50.5243,20.531967
Piotrkow Trybunalski,51.409231,19.700469
Piotrkow Trybunalski-Byki,51.4372,19.6618
Piotrowice Swidnickie,50.937183,16.458083
Plock,52.541472,19.688908
Plonina - Zamek Niesytno,50.902767,16.002367
Podzamcze - Zamek Ogrodzieniec,50.453617,19.5514
Pokrzywno,53.435833,18.850783
Poznan - Zamek Przemysla,52.408889,16.931219
Poznan - Zamek Wilhelma,52.40875,16.918689
Prochowice,51.274911,16.360769
Przewodziszowice,50.644533,19.395083
Puck,54.721639,18.409089
Pultusk,52.703781,21.094939
Rabsztyn,50.300575,19.592275
Raciazek,52.857117,18.820667
Radom,51.401589,21.144311
Radzyn Chelminski,53.388217,18.935322
Radzyn Podlaski,51.782433,22.622367
Rawa Mazowiecka,51.76815,20.253219
Rembow - Zamek Szumsko,50.712156,21.046525
Reszel,54.048392,21.147225
Roznow (Zamek Dolny),49.773583,20.695064
Roznow (Zamek Gorny),49.767233,20.68215
Rudnica,50.611994,16.673531
Rudno - Zamek Tenczyn,50.101758,19.581672
Rytwiany,50.529308,21.202481
Rzemien,50.212397,21.5137
Sandomierz,50.675333,21.747217
Siewierz,50.4673,19.241681
Sobkow,50.706175,20.445808
Sobota,52.111981,19.696869
Sobotka-Gorka - Zamek Gorka,50.902575,16.741744
Solec nad Wisla,51.13515,21.769683
Sosnowka Dolna - Zamek Henryka,50.835417,15.723383
Spytkowice,50.002283,19.5151
Stara Kiszewa - Zamek Kiszewski,53.984883,18.192617
Stopnica,50.440958,20.933517
Sucha - Zamek Czocha,51.028594,15.303558
Sucha Beskidzka - Maly Wawel,49.746233,19.602533
Suliszowice,50.67355,19.365433
Suloszowa,50.247769,19.773561
Szaflary,49.43775,20.015417
Szamotuly,52.618525,16.574992
Szydlowiec,51.226131,20.853839
Szydlow (woj. swietokrzyskie),50.590767,21.000283
Szymbark (woj. warminsko-mazurskie),53.644247,19.487311
Swidnica,50.84415,16.484333
Swiecie (woj. dolnoslaskie),50.996944,15.285278
Swiecie (woj. kujawsko-pomorskie),53.404833,18.458483
Swiny,50.93875,16.112433
Tarnobrzeg - Dzikow,50.579261,21.676367
Tarnowice Stare,50.440433,18.811733
Toszek,50.45635,18.514717
Udorz,50.444917,19.769233
Ujazd (woj. lodzkie),51.598381,19.923931
Ujazd (woj. swietokrzyskie) - Zamek Krzyztopor,50.71395,21.310583
Uniejow,51.972881,18.787939
Walbrzych - Zamek Ksiaz,50.842717,16.293233
Walbrzych - Zamek Stary Ksiaz,50.83785,16.294767
Warmatowice Sienkiewiczowskie,51.131131,16.132039
Warszawa - Zamek Krolewski,52.2475,21.01365
Warszawa - Palac w Wilanowie,52.164969,21.089211
Wasosz,51.561681,16.694069
Wielka Wies (Bialy Kosciol),50.1615,19.828467
Wielun,51.219319,18.572361
Witkow,51.628281,15.519831
Wojciechow,51.236181,22.2425
Wolborz,51.50855,19.836481
Woliborz (Gora Garncarz),50.612411,16.56985
"Woliborz (Jodlownik, Gora Zamkowa)",50.622869,16.609469
Wolow,51.335381,16.649111
Wschowa,51.8036,16.3189
Wysoka,49.618286,19.850575
Wytrzyszczka - Zamek Tropsztyn,49.797233,20.644725
Zagorze Slaskie - Zamek Grodno,50.748983,16.4104
Zaklikow,50.759189,22.10945
Zamek Cisy (Cisow),50.848683,16.247833
Zapusta (Rajsko),51.03395,15.332383
Zator,49.996267,19.4394
Zabkowice Slaskie,50.586731,16.807531
Zbaszyn,52.246769,15.916939
Zlotow,53.363539,17.029431
Zagan (klasztor augustianow),51.616239,15.318389
Zagan (palac),51.61235,15.324389
Zarki Wielkie,51.596231,14.7576
Zary,51.64005,15.14075
Zelazno,50.370669,16.673111
Zmigrod,51.48185,16.916289
Zywiec,49.6881,19.200333
